listing_id,dad__commute_min,dad__transfer_count,dad__station_walk_m,dad__mart_dist_m,dad__hospital_dist_m,mom__commute_min,mom__transfer_count,mom__station_walk_m,mom__mart_dist_m,mom__hospital_dist_m,child__school_walk_m,child__academy_dist_m,child__park_dist_m,child__library_dist_m
H0001,36.0,2.0,434.0,3526.0,1366.0,75.0,2.0,157.0,1794.0,2917.0,303.0,19495.0,3654.0,4219.0
H0002,50.0,2.0,583.0,1310.0,,34.0,2.0,,,2226.0,667.0,9347.0,1422.0,1629.0
H0003,14.0,1.0,,743.0,1558.0,38.0,0.0,285.0,552.0,1498.0,454.0,12761.0,3586.0,548.0
H0004,25.0,1.0,441.0,243.0,982.0,52.0,3.0,357.0,924.0,337.0,628.0,16073.0,738.0,2011.0
H0005,41.0,2.0,357.0,509.0,,12.0,1.0,116.0,876.0,1813.0,,4326.0,1667.0,1995.0
H0006,42.0,2.0,936.0,1939.0,2280.0,28.0,2.0,384.0,668.0,568.0,695.0,,1226.0,1478.0
H0007,49.0,1.0,310.0,4500.0,1307.0,51.0,1.0,710.0,4500.0,4500.0,735.0,21137.0,662.0,3210.0
H0008,52.0,1.0,500.0,2500.0,4500.0,40.0,1.0,,3872.0,2551.0,482.0,20031.0,2292.0,4500.0
H0009,59.0,2.0,507.0,426.0,526.0,29.0,,142.0,727.0,566.0,,3718.0,522.0,1718.0
H0010,67.0,3.0,289.0,90.0,225.0,65.0,2.0,260.0,,60.0,644.0,18319.0,134.0,72.0
H0011,49.0,1.0,259.0,3554.0,4500.0,47.0,2.0,252.0,1314.0,4374.0,170.0,9281.0,2453.0,
H0012,69.0,2.0,332.0,482.0,537.0,36.0,2.0,437.0,1097.0,502.0,791.0,6782.0,650.0,473.0
H0013,15.0,0.0,308.0,881.0,2116.0,37.0,1.0,206.0,345.0,436.0,617.0,15054.0,673.0,536.0
H0014,15.0,1.0,181.0,1892.0,2731.0,34.0,1.0,1018.0,1737.0,2569.0,759.0,13840.0,3455.0,739.0
H0015,79.0,3.0,282.0,396.0,324.0,51.0,3.0,413.0,278.0,797.0,301.0,,619.0,407.0
H0016,56.0,2.0,467.0,544.0,548.0,22.0,1.0,377.0,820.0,1002.0,489.0,5292.0,703.0,960.0
H0017,38.0,0.0,809.0,1034.0,1800.0,59.0,2.0,969.0,1011.0,967.0,332.0,21627.0,1016.0,860.0
H0018,38.0,3.0,547.0,231.0,595.0,19.0,1.0,400.0,300.0,394.0,831.0,1392.0,1033.0,132.0
H0019,25.0,0.0,97.0,3122.0,1277.0,38.0,2.0,503.0,4455.0,2841.0,284.0,13838.0,2902.0,798.0
H0020,28.0,0.0,574.0,569.0,683.0,31.0,2.0,267.0,550.0,881.0,360.0,15509.0,537.0,3382.0
H0021,39.0,1.0,297.0,2047.0,2179.0,,2.0,190.0,2521.0,2362.0,748.0,26000.0,650.0,2511.0
