listing_id,name,gu,lat,lon,area_m2,rooms,bathrooms,orientation,built_year,floor,total_floors,green_ratio,parking_per_unit,complex_units,daylight_hours,noise_db
H0001,은평구 리버스퀘어 6단지,은평구,37.608415,126.929807,88.1,3,1,남서,2020,22,22,57.4,0.75,949,8.4,47.8
H0002,성동구 센트럴아파트 12단지,성동구,37.570114,127.033853,110.8,4,2,남동,2012,9,23,43.7,1.43,636,7.5,46.4
H0003,동작구 하이스퀘어 4단지,동작구,37.515992,126.921981,138.0,5,2,남동,2008,2,11,43.2,0.25,344,6.6,53.7
H0004,영등포구 파크빌 4단지,영등포구,37.508034,126.893883,89.5,3,1,남,2007,8,13,48.0,0.91,270,8.2,62.1
H0005,강남구 파크스퀘어 2단지,강남구,37.487169,127.035362,151.6,5,2,남,2006,14,15,42.6,0.84,410,9.4,48.2
H0006,광진구 포레타운 8단지,광진구,37.539207,127.062295,70.2,2,1,남,2000,7,17,31.8,1.01,818,,48.9
H0007,은평구 파크스퀘어 12단지,은평구,37.596567,126.93728,136.5,4,2,북,2002,10,11,18.1,1.17,775,6.3,50.6
H0008,은평구 하이아파트 6단지,은평구,37.608672,126.93536,68.6,3,1,남동,2025,7,10,35.1,1.63,125,7.6,55.8
H0009,송파구 센트럴스퀘어 8단지,송파구,37.523625,127.077313,105.7,4,2,남,2006,11,14,45.8,0.81,334,9.4,41.9
H0010,노원구 파크스퀘어 3단지,노원구,37.655997,127.054837,81.1,3,1,북,1998,6,20,37.6,1.13,1485,7.3,45.8
H0011,성동구 리버캐슬 8단지,성동구,37.573182,127.053031,79.9,3,1,남,2001,1,12,46.8,1.04,639,6.8,36.1
H0012,광진구 포레아파트 13단지,광진구,37.54148,127.099248,164.1,5,2,남동,2020,7,18,41.0,0.66,208,6.8,39.2
H0013,영등포구 그린아파트 5단지,영등포구,37.533291,126.912713,118.4,5,2,동,2015,24,25,56.1,1.75,3522,8.2,40.8
H0014,동작구 파크스퀘어 4단지,동작구,37.503239,126.939923,91.0,4,2,북동,2014,9,11,38.3,0.67,589,8.6,46.4
H0015,노원구 포레캐슬 14단지,노원구,37.651865,127.043279,49.8,2,1,동,2004,15,18,44.6,1.15,803,8.9,57.4
H0016,송파구 포레스퀘어 11단지,송파구,37.517058,127.088561,60.8,2,1,남동,2014,22,25,46.1,1.26,812,6.7,49.2
H0017,양천구 리버스퀘어 11단지,양천구,37.527667,126.871914,70.8,4,2,북,1999,6,16,52.2,1.04,457,5.8,39.4
H0018,강남구 하이아파트 11단지,강남구,37.512081,127.053368,94.3,3,1,남,2004,6,16,23.4,0.86,349,6.8,44.6
H0019,동작구 리버아파트 2단지,동작구,37.519175,126.959897,105.5,4,2,북,2019,25,26,40.5,1.46,2955,6.4,55.3
H0020,영등포구 하이타운 7단지,영등포구,37.522944,126.9139,76.2,3,1,서,2017,10,17,50.4,0.67,1277,8.8,52.7
H0021,은평구 하이타운 13단지,은평구,37.601172,126.926984,114.0,4,2,북동,1995,8,26,53.8,0.88,1115,,45.7
H0022,성동구 파크타운 5단지,성동구,37.574084,127.017193,109.4,3,1,남,1997,7,22,41.9,0.75,927,6.0,44.2
H0023,광진구 파크아파트 2단지,광진구,37.51259,127.077194,83.2,4,1,남,2008,15,17,36.2,,284,7.5,54.4
H0024,동작구 리버아파트 7단지,동작구,37.495546,126.942776,71.0,3,1,동,2026,2,22,51.1,1.42,1569,7.1,39.6
H0025,은평구 리버타운 2단지,은평구,37.583432,126.925867,54.2,2,1,남서,1984,2,21,44.0,1.12,320,7.8,49.5
H0026,송파구 리버아파트 8단지,송파구,37.484163,127.096654,103.3,4,1,남서,2010,19,25,37.7,0.98,744,8.3,61.9
H0027,노원구 파크빌 14단지,노원구,37.645383,127.060846,96.0,4,2,북동,1990,1,16,38.8,1.1,176,7.4,48.8
H0028,강남구 포레아파트 6단지,강남구,37.526943,127.039237,110.9,4,2,남서,1999,4,19,46.9,0.97,130,5.3,41.3
H0029,송파구 리버스퀘어 4단지,송파구,37.510797,127.095851,130.0,5,3,남,2003,19,19,57.1,0.72,764,9.8,
H0030,영등포구 센트럴타운 8단지,영등포구,37.528971,126.901283,143.0,5,2,남동,2002,10,23,45.1,0.91,328,7.3,43.4
H0031,은평구 그린캐슬 7단지,은평구,37.61686,126.922668,123.0,5,2,남,2001,10,13,37.0,0.88,135,9.1,37.9
H0032,광진구 포레타운 1단지,광진구,37.55576,127.086206,86.1,4,2,남,2007,13,25,40.4,0.83,903,,51.6
H0033,마포구 센트럴아파트 5단지,마포구,37.562901,126.912771,91.4,3,2,남,2001,2,22,47.5,1.12,2951,7.5,53.8
H0034,성동구 하이아파트 4단지,성동구,37.580897,127.018869,120.7,4,2,서,1989,3,11,38.9,0.91,1706,6.9,45.0
H0035,노원구 리버타운 6단지,노원구,37.655398,127.0491,78.2,3,1,동,2016,20,26,42.6,0.65,496,8.8,43.9
H0036,송파구 센트럴캐슬 13단지,송파구,37.503614,127.128904,79.6,3,2,남서,2016,4,32,,0.63,606,5.4,
H0037,송파구 센트럴타운 12단지,송파구,37.506773,127.087307,115.2,4,1,남동,2017,15,25,54.3,1.31,1171,7.8,44.0
H0038,노원구 파크스퀘어 10단지,노원구,37.634953,127.022934,144.9,5,2,동,1989,10,28,29.3,0.57,1396,5.9,45.3
H0039,송파구 그린아파트 6단지,송파구,37.502954,127.07611,121.6,4,2,서,2011,8,20,36.3,1.19,465,7.3,41.1
H0040,영등포구 리버스퀘어 11단지,영등포구,37.521746,126.896766,115.8,4,2,서,2015,9,9,42.0,1.4,617,8.3,58.4
H0041,성동구 리버빌 3단지,성동구,37.573747,127.037595,94.2,3,1,남서,1995,5,8,57.1,0.5,754,9.1,47.2
H0042,동작구 포레스퀘어 4단지,동작구,37.53477,126.937418,77.4,2,1,서,2007,13,21,37.1,0.6,912,6.4,51.0
H0043,영등포구 그린빌 13단지,영등포구,37.508432,126.915727,111.8,3,2,남서,2006,6,15,33.9,1.57,545,8.5,53.5
H0044,마포구 포레타운 3단지,마포구,37.568907,126.865635,138.2,5,3,남동,2026,6,14,37.3,1.39,550,9.1,52.3
H0045,동작구 파크빌 8단지,동작구,37.498873,126.945635,86.9,2,1,서,2026,14,19,59.3,1.14,1694,5.3,41.3
H0046,은평구 리버아파트 5단지,은평구,37.608871,126.954083,81.7,3,1,남동,1987,1,23,14.2,0.51,1491,7.9,53.1
H0047,성동구 센트럴빌 6단지,성동구,37.561596,127.019056,82.1,3,2,남동,2026,3,10,34.1,1.11,861,8.5,45.9
H0048,마포구 리버빌 11단지,마포구,37.539998,126.902323,104.3,4,1,남,1996,10,16,62.0,0.54,2185,7.8,46.5
