listing_id,dad__work__drive_min,dad__work__transit_min,dad__work__walk_min,dad__gym__drive_min,dad__gym__transit_min,dad__gym__walk_min,mom__work__drive_min,mom__work__transit_min,mom__work__walk_min,mom__mart__drive_min,mom__mart__transit_min,mom__mart__walk_min,child__school__drive_min,child__school__transit_min,child__school__walk_min,child__academy__drive_min,child__academy__transit_min,child__academy__walk_min
H0001,36.4,52.9,164.6,29.7,49.4,153.0,50.4,74.6,260.3,50.7,71.0,243.6,53.1,78.7,309.9,58.6,90.1,294.4
H0002,37.0,60.2,184.9,36.0,60.1,175.7,32.8,49.9,157.8,31.4,44.1,119.3,29.5,42.2,145.0,31.2,44.5,160.7
H0003,8.4,16.7,13.1,11.6,22.0,32.8,35.9,56.2,168.9,29.4,50.3,149.5,39.4,54.9,206.3,47.2,65.8,225.4
H0004,16.5,25.2,57.9,18.2,26.9,74.5,40.3,58.4,230.9,44.2,69.0,223.1,50.1,63.2,247.4,54.0,68.4,281.6
H0005,33.0,59.2,207.5,,55.6,170.4,9.6,17.6,26.5,14.9,27.6,52.5,12.2,19.5,39.6,,24.4,53.8
H0006,39.8,63.5,240.0,39.9,68.0,228.4,20.3,36.4,97.9,22.4,33.0,98.0,16.8,29.7,,20.3,33.4,77.9
H0007,32.1,47.9,151.0,27.3,45.7,133.8,48.5,78.3,253.2,38.1,62.2,210.2,55.4,64.0,247.8,49.7,75.5,300.8
H0008,35.0,,160.8,30.8,50.4,146.4,50.0,64.9,272.6,51.5,70.9,243.9,49.9,70.8,,51.1,81.0,283.1
H0009,47.3,59.9,238.5,53.2,66.5,254.8,18.4,35.6,,23.4,33.1,95.6,16.1,27.0,65.4,14.9,23.4,57.3
H0010,60.0,83.7,345.6,61.9,85.3,335.7,58.1,79.0,308.1,56.5,89.0,262.9,57.3,75.7,313.6,61.1,82.1,305.9
H0011,47.7,59.4,226.6,45.0,64.0,195.5,30.5,47.2,157.4,30.6,46.0,151.7,29.5,46.1,147.0,27.7,53.4,153.0
H0012,56.7,65.6,,50.1,,304.3,33.8,45.2,143.7,28.4,46.6,140.4,24.5,41.3,108.4,24.5,36.9,99.5
H0013,11.1,19.0,31.3,10.7,19.5,30.6,34.6,56.9,206.4,34.6,56.7,186.9,43.0,61.2,208.1,50.8,65.8,249.9
H0014,14.6,24.6,43.7,14.7,26.2,56.8,26.8,43.8,130.5,26.9,48.0,122.1,34.3,50.3,184.9,39.4,57.3,181.8
H0015,62.8,86.2,308.7,46.9,79.6,337.8,63.2,85.1,332.2,47.7,80.7,284.0,56.7,84.6,,54.7,,312.9
H0016,47.4,74.8,267.6,44.4,74.6,256.9,26.0,35.9,108.5,26.2,38.3,104.0,15.4,28.6,72.2,14.1,23.7,54.9
H0017,,35.1,82.6,19.0,41.5,93.1,46.7,64.8,231.7,50.4,75.6,259.4,60.5,73.6,277.4,62.8,93.0,297.9
H0018,38.3,66.6,210.3,33.6,52.0,190.8,13.8,25.9,55.1,14.3,27.1,55.3,9.2,19.0,20.3,9.9,19.7,30.3
H0019,16.6,26.1,58.8,13.6,25.7,55.3,26.8,42.0,,23.1,34.8,100.7,30.7,48.0,139.4,37.3,59.1,171.0
H0020,8.8,18.5,,12.0,18.7,31.2,31.7,60.0,201.6,34.4,52.7,,37.9,64.8,219.2,46.6,68.8,231.9
H0021,32.7,50.4,154.9,30.2,48.1,143.7,43.9,65.9,288.4,47.0,68.6,254.8,50.0,80.5,317.4,56.1,81.9,295.0
H0022,35.1,51.9,200.3,37.0,51.4,156.0,31.5,49.8,155.3,26.6,44.0,136.3,29.3,40.3,148.1,30.2,54.0,155.3
H0023,51.5,66.8,224.5,47.6,71.7,239.4,22.5,34.1,75.2,20.2,30.9,82.8,16.6,27.8,56.8,11.8,17.1,41.4
H0024,16.0,24.1,51.8,19.2,32.2,72.5,28.1,41.2,118.3,29.5,37.8,120.8,32.4,52.5,145.0,40.2,58.3,206.3
H0025,26.3,39.2,108.5,22.7,38.5,98.1,46.4,67.9,240.5,41.5,58.0,195.8,50.4,75.2,238.4,47.9,76.8,
H0026,53.0,77.1,285.3,55.7,84.5,252.1,27.3,39.0,109.3,32.6,40.9,140.0,20.7,35.4,101.0,17.1,30.2,67.8
H0027,64.4,94.7,330.8,61.9,71.3,323.8,65.5,,281.6,53.6,74.4,282.9,52.3,79.0,291.1,56.1,86.5,252.4
H0028,38.1,62.3,182.2,34.1,59.4,142.7,15.7,30.9,61.7,12.9,24.7,42.1,13.4,23.0,31.8,16.6,26.3,55.5
H0029,54.0,69.2,297.5,53.3,77.0,270.9,24.9,34.4,117.2,28.8,40.6,,21.7,32.8,86.5,16.6,28.5,56.2
H0030,13.1,22.8,32.8,14.3,25.4,45.1,47.1,72.7,189.5,40.4,58.6,173.0,39.7,65.9,265.6,43.0,73.0,
H0031,44.2,53.2,197.0,34.3,49.0,191.3,49.6,75.5,282.4,53.5,68.1,,51.3,87.0,255.8,62.6,82.8,319.3
H0032,49.8,77.4,296.1,45.3,67.8,245.4,33.5,50.9,165.3,32.2,44.0,124.1,23.0,36.6,134.8,29.1,41.2,121.2
H0033,19.7,32.4,78.9,16.6,29.9,75.6,41.0,69.6,208.0,38.3,,208.9,43.3,66.2,194.0,57.2,74.9,288.6
H0034,36.4,50.2,187.2,35.8,53.5,170.1,34.6,,177.9,29.9,48.0,146.7,31.0,56.8,168.9,37.2,60.2,164.1
H0035,,96.5,316.4,60.9,87.9,317.6,59.0,,307.3,55.5,77.5,335.1,50.8,79.5,301.9,58.0,87.9,322.6
H0036,66.5,85.4,307.3,57.2,94.2,337.7,31.2,50.2,168.5,32.3,54.0,184.7,27.2,43.3,112.2,22.8,,106.1
H0037,50.0,70.9,255.5,49.3,63.3,246.8,20.9,36.9,104.9,23.8,43.8,104.9,15.0,26.9,70.4,12.7,24.0,43.3
H0038,49.8,71.4,304.2,51.7,77.8,275.6,53.8,78.2,289.7,53.1,71.2,265.5,47.1,75.9,284.7,55.5,83.8,269.3
H0039,44.8,66.6,276.4,48.6,68.5,222.6,20.6,33.7,83.7,21.7,32.4,82.3,15.7,23.3,51.9,,19.1,
H0040,14.1,23.9,43.7,17.1,25.5,57.4,41.9,63.0,196.9,35.8,58.2,184.7,47.8,67.5,248.5,54.3,82.9,266.7
H0041,43.6,60.6,236.7,42.1,51.8,205.3,32.2,48.0,165.6,25.2,43.7,134.7,29.9,47.9,135.1,37.0,51.0,174.2
H0042,12.2,21.3,34.7,8.0,17.1,16.9,34.8,54.4,152.4,33.3,45.2,,,52.4,158.2,41.8,63.0,200.7
H0043,10.5,20.4,34.4,16.0,20.2,56.4,34.0,56.9,183.2,34.0,51.5,166.2,36.6,64.2,216.4,41.6,73.5,247.8
H0044,29.1,48.0,132.9,26.8,44.9,122.5,58.9,,300.1,49.9,68.6,253.4,54.4,90.7,351.4,58.3,92.3,
H0045,15.8,25.6,58.2,18.7,25.6,61.5,29.8,41.3,,26.0,38.2,122.0,32.9,53.6,171.8,39.8,56.6,183.1
H0046,37.4,49.5,186.6,33.8,51.0,152.0,57.6,66.2,257.8,39.6,,207.9,52.1,72.7,218.7,53.3,87.4,292.3
H0047,,56.6,209.5,31.4,48.7,163.0,27.1,41.2,121.6,25.9,36.6,107.4,28.2,50.4,108.6,32.1,51.5,140.5
H0048,14.9,,54.8,12.4,26.2,51.0,41.4,60.6,196.5,38.3,56.4,197.5,48.4,73.3,224.0,49.7,75.3,218.6
H0049,19.1,32.1,69.4,18.5,30.0,76.1,49.7,73.1,257.4,48.2,64.1,245.8,48.3,76.2,235.3,59.4,79.0,232.0
H0050,51.8,77.3,286.5,44.9,70.2,241.2,24.9,39.6,105.5,25.5,39.7,114.9,18.6,28.4,75.3,13.9,26.6,52.9
H0051,55.0,77.9,,56.3,74.3,290.4,25.1,40.0,128.2,30.6,45.5,122.2,20.6,33.4,92.0,15.7,29.0,68.4
H0052,48.0,69.3,227.4,49.7,72.2,210.1,17.2,31.8,69.2,20.1,31.6,80.3,12.6,24.6,37.0,8.1,16.5,16.6
H0053,29.1,55.8,166.0,,46.4,148.3,45.4,70.9,200.8,41.5,60.0,177.3,50.7,73.3,238.5,44.8,70.1,252.5
H0054,15.3,30.1,58.0,16.9,26.7,75.8,42.1,67.1,243.9,43.8,59.5,216.5,42.7,78.7,262.1,61.3,80.2,256.3
H0055,6.8,14.5,,7.8,15.8,14.5,33.7,49.2,164.9,33.0,50.0,157.9,38.0,60.8,185.1,43.5,64.6,216.2
H0056,33.6,53.5,172.3,30.8,43.5,161.4,52.0,83.8,275.4,48.2,71.0,284.2,57.2,70.1,271.8,60.0,79.4,303.0
H0057,68.5,107.9,384.5,70.3,98.6,344.9,67.4,90.6,320.6,58.7,91.7,302.5,53.4,89.2,272.4,58.4,88.6,
H0058,25.0,33.6,101.5,23.6,32.6,91.4,49.5,76.2,300.3,55.3,75.0,247.2,53.2,74.0,286.0,56.4,89.7,360.3
H0059,52.4,83.1,253.7,61.2,83.7,274.3,24.5,42.2,122.9,27.9,47.4,135.0,22.3,32.6,101.6,18.4,29.6,87.3
H0060,44.6,61.8,220.8,39.7,61.5,190.9,11.2,21.1,40.6,15.9,26.3,59.7,9.1,17.7,20.3,9.4,17.8,17.5
